iter	RMSE
0	76848.69514
1	74984.96783
2	73213.20409
3	71510.50341
4	69864.56625
5	68047.49437
6	66406.59652
7	64819.73245
8	63424.37668
9	61850.12652
10	60420.25148
11	58865.13232
12	57512.33248
13	56401.50065
14	55235.17215
15	53954.38821
16	52986.98586
17	51914.16073
18	50907.2826
19	49910.31453
20	48854.8467
21	47893.37702
22	47020.68237
23	46145.75505
24	45367.68448
25	44579.92447
26	43730.14768
27	43033.45195
28	42377.99281
29	41715.52384
30	41023.24607
31	40349.2691
32	39760.0617
33	39171.66381
34	38631.12249
35	38052.33242
36	37519.03839
37	37020.25618
38	36554.35682
39	36057.83806
40	35586.59484
41	35154.72468
42	34735.30383
43	34314.51449
44	33925.16457
45	33552.40851
46	33144.92094
47	32771.96092
48	32381.69235
49	32036.93123
50	31742.97805
51	31452.86118
52	31171.24843
53	30911.64416
54	30632.73232
55	30375.02491
56	30086.09625
57	29881.08297
58	29648.53848
59	29410.12947
60	29210.89857
61	28991.80562
62	28773.12536
63	28577.24114
64	28393.28627
65	28243.08556
66	28044.16994
67	27872.99981
68	27670.32561
69	27515.91185
70	27366.06937
71	27253.64752
72	27060.63678
73	26932.34277
74	26784.35551
75	26754.76575
76	26612.16935
77	26490.50391
78	26356.89279
79	26222.98332
80	26108.69047
81	25973.11281
82	25832.56364
83	25763.81797
84	25645.61406
85	25544.7836
86	25430.09503
87	25353.23853
88	25238.25506
89	25112.0778
90	25020.6042
91	24914.41964
92	24844.74136
93	24702.30626
94	24612.29143
95	24537.51574
96	24461.26931
97	24371.13734
98	24288.15468
99	24199.12378
100	24179.2838
101	24120.38233
102	24068.8334
103	24002.28978
104	23905.41147
105	23818.14353
106	23748.16088
107	23668.50699
108	23580.26265
109	23521.68949
110	23437.75236
111	23361.80882
112	23268.97972
113	23194.17584
114	23150.144
115	23091.84487
116	23026.55033
117	22949.00659
118	22885.98215
119	22823.34986
120	22768.0326
121	22698.70179
122	22637.43635
123	22587.83142
124	22555.45617
125	22497.11562
126	22440.58939
