iter	Passed	Remaining
0	2	2496
1	4	2234
2	6	2153
3	8	2090
4	10	2061
5	12	2049
6	14	2040
7	16	2025
8	18	2009
9	20	2007
10	22	2004
11	24	1999
12	26	1990
13	28	1986
14	30	1977
15	32	1975
16	34	1971
17	36	1967
18	38	1971
19	40	1966
20	42	1960
21	43	1953
22	45	1950
23	47	1946
24	49	1942
25	51	1938
26	53	1935
27	55	1932
28	57	1931
29	59	1930
30	61	1927
31	63	1923
32	65	1918
33	67	1916
34	69	1914
35	71	1911
36	73	1911
37	75	1905
38	77	1902
39	79	1900
40	81	1895
41	82	1891
42	84	1889
43	86	1888
44	88	1885
45	90	1881
46	92	1880
47	94	1877
48	96	1876
49	98	1875
50	100	1872
51	102	1870
52	104	1868
53	106	1865
54	108	1863
55	110	1860
56	112	1857
57	114	1859
58	118	1883
59	120	1887
60	122	1890
61	125	1899
62	127	1903
63	129	1900
64	131	1898
65	134	1905
66	136	1903
67	138	1901
68	140	1897
69	142	1894
70	144	1892
71	146	1889
72	148	1890
73	150	1888
74	152	1884
75	154	1882
76	156	1881
77	158	1878
78	160	1876
79	162	1874
80	165	1873
81	167	1871
82	169	1868
83	171	1866
84	173	1865
85	175	1862
86	177	1860
87	179	1859
88	181	1857
89	183	1854
90	185	1851
91	187	1849
92	189	1847
93	191	1845
94	193	1843
95	195	1841
96	197	1838
97	199	1837
98	201	1833
99	203	1830
100	204	1816
101	206	1814
102	208	1812
103	210	1810
104	212	1809
105	214	1806
106	216	1805
107	218	1804
108	220	1802
109	222	1800
110	224	1797
111	226	1796
112	228	1794
113	230	1792
114	232	1790
115	234	1788
116	236	1786
117	238	1784
118	240	1782
119	242	1781
120	245	1783
121	247	1784
122	250	1784
123	252	1784
124	255	1787
125	258	1792
126	261	1799
